name,kind
Literarna i novinarska radionica,regularna
Zanimljiva geografija,regularna
Medijska pismenost,regularna
Zdravi stilovi zivota,regularna
Sport za sportiste,sala
Gradjansko vaspitanje,regularna
Vrednovanje prostora,regularna
Muzicka radionica,regularna
Fizicko vaspitanje,sala
Muzicka kultura,regularna
Likovna kultura,regularna
Informatika sa tehnikom,informatika
Geografija,regularna
Istorija,regularna
Biologija,regularna
Hemija,regularna
Fizika,regularna
Njemacki,regularna
Italijanski,italijanski
Francuski,francuski
Engleski,regularna
Matematika,regularna
CSBH,regularna
